"school_name" "country" "Year" "rank_int" "ranking_range" "teaching_new" "research_new" "international_new" "citations_new" "income_new" "overall_new" "lon" "lat" "teachingMean2" "internationalMean2" "citationsMean2" "incomeMean2" "overallMean2" "researchMean2"
"1" "National University of Córdoba" "Argentina" 2016 601 "601-800" 16 9 28.1 12.5 28.6 14.1 -63.616672 -38.416097 NA NA NA NA NA NA
"2" "University of Melbourne" "Australia" 2016 33 "26-50" 62 75.5 87.1 86.6 64.6 75.4 133.775136 -25.274398 27.6533333333333 77.8733333333333 59.7366666666667 48.28 42.6833333333333 31.41
"3" "University of Vienna" "Austria" 2016 142 "126-150" 40.8 50.5 92.6 63.6 30.2 54.2 14.550072 47.516231 25.7333333333333 75.2333333333333 61.4666666666667 50.7 38.5333333333333 18.2333333333333
"4" "University of Dhaka" "Bangladesh" 2016 601 "601-800" 21.7 7.2 37.2 9.6 NA NA 90.356331 23.684994 NA NA NA NA NA NA
"5" "Belarusian State University" "Belarus" 2016 601 "601-800" 20.2 8.7 48.2 6 28 14.8 27.953389 53.709807 NA NA NA NA NA NA
"6" "KU Leuven" "Belgium" 2016 35 "26-50" 59.9 76.9 68.6 87.3 100 74.8 4.469936 50.503887 32.7166666666667 68.65 60.4166666666667 69.1166666666667 46.0833333333333 37.55
"7" "University of São Paulo" "Brazil" 2016 251 "251-300" 59.1 57.1 25.3 20.4 30.5 43.6 -51.92528 -14.235004 27.275 19.8375 15.4375 47.04375 20.05 15.20625
"8" "University of Toronto" "Canada" 2016 19 "0-25" 75.9 89.3 77.8 90.9 49.1 83.9 -106.346771 56.130366 33.0291666666667 66.05 57.5375 47.1916666666667 43.5125 34.0333333333333
"9" "Federico Santa María Technical University" "Chile" 2016 401 "401-500" 17.2 10.1 54.1 70.5 35.1 34.3 -71.542969 -35.675147 21.84 43.56 20.46 36.06 21.04 13.98
"10" "Peking University" "China" 2016 42 "26-50" 77.8 72.4 49.2 69.1 100 72 104.195397 35.86166 29.0138888888889 23.1555555555556 26.5611111111111 68.1888888888889 27.1805555555556 23.5638888888889
"11" "University of the Andes, Colombia" "Colombia" 2016 501 "501-600" 21.2 13.8 51.7 31.2 28 24.4 -74.297333 4.570868 18.1 42 14.8 43.6 20.4 21.1
"12" "University of Cyprus" "Cyprus" 2016 351 "351-400" 18 28.5 74.7 56.7 30 37.3 33.429859 35.126413 NA NA NA NA NA NA
"13" "VŠB - Technical University of Ostrava" "Czech Republic" 2016 301 "301-350" 18.8 15.7 22.3 85.5 32.1 38.5 15.472962 49.817492 20.5375 38.0125 34.0375 30.825 24.25 14.225
"14" "University of Copenhagen" "Denmark" 2016 82 "76-100" 49.8 42.7 83.3 86.2 45 61 9.501785 56.26392 27.56 78.64 78.1 45.06 47.74 30.04
"15" "Alexandria University" "Egypt" 2016 601 "601-800" 20.3 8.2 33.7 14.1 29.7 16 30.802498 26.820553 20.75 31.3 13.95 30.15 16.1 8.5
"16" "University of Tartu" "Estonia" 2016 351 "351-400" 23.8 22.8 46.1 64.2 31.5 37.5 25.013607 58.595272 16.3 37.9 38.7 44.8 25 15
"17" "University of Helsinki" "Finland" 2016 76 "76-100" 48.4 60.4 51.8 82.1 31.6 61.9 25.748151 61.92411 26 53.825 55.1 47.375 36.0875 21.8125
"18" "École Normale Supérieure" "France" 2016 54 "51-75" 70.6 47.7 85.5 87.1 37.1 69 2.213749 46.227638 28.7269230769231 59.0423076923077 55.5769230769231 33.6307692307692 36.5538461538462 19.9846153846154
"19" "LMU Munich" "Germany" 2016 29 "26-50" 70.5 77.4 62.8 85.7 100 77.3 10.451526 51.165691 40.1 53.4416666666667 68 67.5 50.3222222222222 40.7194444444444
"20" "University of Ghana" "Ghana" 2016 601 "601-800" 15.6 15.6 48.4 19.5 NA NA -1.023194 7.946527 NA NA NA NA NA NA
"21" "University of Crete" "Greece" 2016 351 "351-400" 18.6 19.2 47 73.6 34.5 37.8 21.824312 39.074208 19.3166666666667 35.6 37.9833333333333 44.05 25.7 15.8166666666667
"22" "University of Hong Kong" "Hong Kong" 2016 44 "26-50" 64.6 72.8 99.5 70.1 53.7 71 114.109497 22.396428 34.98 79.44 71.8 45.92 50.46 37.72
"23" "Semmelweis University" "Hungary" 2016 501 "501-600" 19.6 10.6 81.7 41.5 30.7 28.4 19.503304 47.162494 19.08 44.02 23.4 32.58 20.26 11.34
"24" "University of Iceland" "Iceland" 2016 251 "251-300" 16.2 16.2 61 91.4 28 42.4 -19.020835 64.963051 NA NA NA NA NA NA
"25" "Indian Institute of Science" "India" 2016 251 "251-300" 42.7 47.2 16.4 42.4 52.4 42.2 78.96288 20.593684 30.65625 15.1625 28.08125 39.65625 24.5 15.79375
"26" "University of Indonesia" "Indonesia" 2016 601 "601-800" 18.1 8 37.2 13.9 40 15.8 113.921327 -0.789275 NA NA NA NA NA NA
"27" "Iran University of Science and Technology" "Iran" 2016 401 "401-500" 25.9 26 12.2 42.3 61.2 30.7 53.688046 32.427908 26.9285714285714 13.1857142857143 23.8571428571429 62.8714285714286 24.3428571428571 21.8285714285714
"28" "Trinity College Dublin" "Ireland" 2016 160 "151-175" 41.9 30.8 90.5 75.8 28 52 -8.24389 53.41291 25.925 78.4625 49.6 38.35 36.2875 22.6125
"29" "Hebrew University of Jerusalem" "Israel" 2016 178 "176-200" 45.8 41.4 55.6 64.6 31.9 50.5 34.851612 31.046051 29 49.28 39.98 31.92 34.52 31.18
"30" "Scuola Normale Superiore di Pisa" "Italy" 2016 112 "101-125" 54.2 53.1 46.3 67.2 52 57.1 12.56738 41.87194 24.5363636363636 36.8878787878788 66.4757575757576 39.7939393939394 36.8484848484849 19.2939393939394
